1	3.27943595769683	PITX1
2	3.09208546494132	GATA3
3	2.55719844357977	RCOR1_MTA3
4	2.5317928548017	SMAD4
5	2.05256570713392	SMAD1
6	1.89401757077116	CUX1
7	1.87281953694894	SIN3A_CHD1
8	1.81044711329764	NR5A2
9	1.74141221374046	PAX5
10	1.73810210556677	TAL1
11	1.71745711402624	HES1
12	1.70121488230828	TBX1
13	1.59752868490733	TCF21
14	1.49591469325578	TFEC_MITF_ARNTL_BHLHE41
15	1.42112906153567	TCF12_ASCL2
16	1.41067472306143	MAFB
17	1.39096954847742	EPAS1_BCL3
18	1.37572054415495	SMAD2
19	1.35504279866022	GLIS2
20	1.31847920009875	RREB1
21	1.31780426146623	FOXM1_TBL1XR1
22	1.25447518307567	GTF2I
23	1.22686912881225	DUXA
24	1.2075172048703	NFKB2
25	1.19066022544283	EZH2
26	1.18663522012579	POU5F1_POU2F3
27	1.17747683535282	RFX3_RFX2
28	1.15235008103728	IKZF1
29	1.13774448605909	TFDP1
30	1.103088593877	ETV6
31	1.09435205005763	RHOXF1
32	1.07568139719503	MYOD1
33	1.06226509646705	TBX5
34	1.01199550168687	MYBL1
35	0.98335335507122	FLI1
36	0.982477160401378	SHOX2_HOXC5
37	0.980066445182724	WRNIP1
38	0.979317901657307	GFI1
39	0.971692663200462	BARX1
40	0.946897444954669	NKX2-6
41	0.891597361628907	IRX3
42	0.871440195280716	HOMEZ
43	0.868619927915359	ZBTB18
44	0.856412569538415	MZF1
45	0.783644955824944	E2F6
46	0.775127272727273	GLI2
47	0.772399884759435	GMEB2
48	0.76776263031275	MYB
49	0.764997744700045	HOXA4
50	0.758182451253482	ZBTB14
51	0.756139447020436	HOXC8
52	0.732895970009372	ETS1
53	0.706530203582156	ZNF691
54	0.702985262627535	HOXA9
55	0.674924165824065	GFI1B
56	0.670980653769179	BARHL2
57	0.647304308594631	VENTX
58	0.620927936821323	YY1_YY2
59	0.6041434617955	TBX4
60	0.594006894722885	CEBPA
61	0.592637737688932	EMX1
62	0.591934604904632	DMC1
63	0.589047853971386	CREB1
64	0.579997638446097	HINFP
65	0.566800689259047	ONECUT2_ONECUT3
66	0.566730401529637	SOX17
67	0.55834564254062	ZKSCAN1
68	0.55638034641216	HIC1
69	0.554810209424084	MYF6
70	0.547462134350792	MEIS3_TGIF2LX
71	0.533428165007112	KLF12
72	0.523763686680303	POU4F1_POU4F3
73	0.521255060728745	BHLHE22_BHLHA15_BHLHE23
74	0.507941988950276	ZBTB7A_ZBTB7C
75	0.507097193628779	ZKSCAN3
76	0.503315881326353	PLAGL1
77	0.501053463260469	MAX_TFEB
78	0.500533902829685	SOX9
79	0.490987243483084	LEF1
80	0.488987297517772	FOXF2_FOXJ1
81	0.487076017013851	GLIS3
82	0.484162895927602	ATF7
83	0.475113663555875	STAT5B
84	0.471940009675859	FIGLA
85	0.471414115861371	DLX1_HOXA3_BARX2
86	0.471137424570192	HSF2
87	0.461243016759777	HES7_HES5
88	0.455097613882863	RFX5
89	0.451001193475666	TLX2
90	0.447635933806147	PAX4
91	0.444346678398592	TFAP2C
92	0.443078004216444	ZIC2_GLI1
93	0.423352435530086	E2F7_E2F1
94	0.42309182487408	HIVEP1
95	0.422855313700384	MAZ_ZNF281_GTF2F1
96	0.420302648171501	HOXA1
97	0.412898751733703	HOXB2_UNCX_HOXD3
98	0.402335573427344	TP73
99	0.394400276529554	NR4A2
100	0.393839745697687	ZNF274
101	0.391741548994437	MLXIPL
102	0.391726182455195	OLIG2_NEUROD1_ATOH1
103	0.383836084234491	ZBTB4
104	0.37675281029088	ATF5
105	0.375054182921543	CBFB
106	0.372971795709463	PAX1_PAX9
107	0.361911623439001	HOXB4_LHX9
108	0.35681488641856	FOXN1
109	0.356497651451283	SCRT1_SCRT2
110	0.354803132237785	SOX21
111	0.347954077126877	ZBTB6
112	0.340317919075144	SIX1_SIX3_SIX2
113	0.338063997857812	MAF_NRL
114	0.33780342895943	ZNF263
115	0.334405834405834	KLF14_SP8
116	0.328252520403264	HSF4
117	0.318308291597106	MAFA
118	0.317014349451344	TP53
119	0.312186003037738	NKX6-2
120	0.311012262563116	PAX6
121	0.303336821299849	GSC_GSC2
122	0.302722323049002	FOXC1
123	0.302433786685755	WT1_MTF1_ZBTB7B
124	0.299674972914409	BATF3
125	0.287995769434162	GLIS1
126	0.27618730581447	HOXC6_HOXA7
127	0.272258931571285	CENPB
128	0.267375	TBX2
129	0.266514500537057	CPEB1
130	0.259218612818262	NKX1-1
131	0.254650908295032	DLX5
132	0.251537515375154	E2F2_E2F5
133	0.250664187035069	RXRA_NR2F6_NR2C2
134	0.248240008664573	HOXB13
135	0.243941841680129	GATA2
136	0.227445997458704	MBD2
137	0.220812182741117	ETV1_ERF_FEV_ELF1
138	0.216938405797101	PTF1A
139	0.216738685467364	SOX11
140	0.215137714161787	RORC
141	0.214891476211011	TWIST1_SNAI1
142	0.210951526032316	HOXB8
143	0.206666666666667	ETV2
144	0.204212354793182	UBP1
145	0.201827705338237	ATF4
146	0.197008704180459	TFCP2
147	0.195938149088391	ZIC1
148	0.192584009269988	OTX1
149	0.191256830601093	RUNX1_RUNX2
150	0.187706317586796	NANOG
151	0.187447798592053	OTP_PHOX2B_LHX1_LMX1A_LHX5_HOXC4
152	0.183949624866024	NR2E3
153	0.181110718075699	PBX1
154	0.178775708896191	SOX8
155	0.177171642707949	PGR
156	0.175283384019906	CREB5_CREM_JUNB
157	0.171544349392166	ZNF333
158	0.168032326860478	CEBPG
159	0.167377398720682	MECOM
