Distance from Center (cmd=annotatePeaks.pl GSE45822/up_hg19.bed hg19 -size 4000 -hist 10 -d GSE45822/E2_Rep1_tags GSE45822/E2_Rep2_tags GSE45822/Veh_Rep1_tags GSE45822/Veh_Rep2_tags -pc 1),E2_average,Veh_average,E2_average_Up,Veh_average_Up
-820,1.062739725,1.040403998,1.921323211,0.709259787
-810,1.065291388,1.042135285,1.927691986,0.705192209
-800,1.067489484,1.043755158,1.926330538,0.709967268
-790,1.07141115,1.046475429,1.960456886,0.724273657
-780,1.072811664,1.050156183,1.980180577,0.718614393
-770,1.073032324,1.051611751,2.008095006,0.738645217
-760,1.075059442,1.054858066,2.012092829,0.767732684
-750,1.078724614,1.057544193,2.033344869,0.765033393
-740,1.081352876,1.060180922,2.014033408,0.777050008
-730,1.083941223,1.064077782,2.023929444,0.770981227
-720,1.09027837,1.066645604,2.064414519,0.781787785
-710,1.092718488,1.069223877,2.092485801,0.786302162
-700,1.096003363,1.071376918,2.121928578,0.786590732
-690,1.101308298,1.073562942,2.146933114,0.785604075
-680,1.103125293,1.075086882,2.180902608,0.784524358
-670,1.107945027,1.079128687,2.235349921,0.782997842
-660,1.110236784,1.081952324,2.249537392,0.781852955
-650,1.113921262,1.083670449,2.266027435,0.798635236
-640,1.117253744,1.087567541,2.296763282,0.81125688
-630,1.1192323,1.092378668,2.323835108,0.816469345
-620,1.125790174,1.096489074,2.336258949,0.823552672
-610,1.129252751,1.100645322,2.350985361,0.823710901
-600,1.132355238,1.105135587,2.347007633,0.820974328
-590,1.137692959,1.107999335,2.387884843,0.819606041
-580,1.141490987,1.114133703,2.378380943,0.802442132
-570,1.14689169,1.119840516,2.402542877,0.807142626
-560,1.150562416,1.1244436,2.418876066,0.798458219
-550,1.156330386,1.126593158,2.41641664,0.79734122
-540,1.156773731,1.127916255,2.412135252,0.79698748
-530,1.16045799,1.132072815,2.445262144,0.792761673
-520,1.16509455,1.134246995,2.464750555,0.802516403
-510,1.168974277,1.137220768,2.479104928,0.808110496
-500,1.173581913,1.142593868,2.516151216,0.817902508
-490,1.178164842,1.14525801,2.577349391,0.83166904
-480,1.181177281,1.149099286,2.601981886,0.809990753
-470,1.187019941,1.155164825,2.63174842,0.820257453
-460,1.191920839,1.16307895,2.724064528,0.815296276
-450,1.199607328,1.169595822,2.739026221,0.818823996
-440,1.206410117,1.177568098,2.813177131,0.822984632
-430,1.215349745,1.185841492,2.809963577,0.808361784
-420,1.224959503,1.193963904,2.814353535,0.800226629
-410,1.231550631,1.202065333,2.825661257,0.795972934
-400,1.238554675,1.208190502,2.844620773,0.798197537
-390,1.246155648,1.214097792,2.869713783,0.774387706
-380,1.250989347,1.220681492,2.8659331,0.764027947
-370,1.25793936,1.225614284,2.865884816,0.768160695
-360,1.265467648,1.235472089,2.899864358,0.775030017
-350,1.274638826,1.243209932,2.938831131,0.781517709
-340,1.281189419,1.25086911,2.975348526,0.786097257
-330,1.293663271,1.263050677,2.977210678,0.781331592
-320,1.301508407,1.27667008,2.988948771,0.804694623
-310,1.312982617,1.290809338,3.001461087,0.810288717
-300,1.325920459,1.306236293,3.029825981,0.835876352
-290,1.339059842,1.323371766,3.046452783,0.85688444
-280,1.350798541,1.340526367,3.082793229,0.860384271
-270,1.360552593,1.35567381,3.054104579,0.862264528
-260,1.372103486,1.371324147,3.073484419,0.861091752
-250,1.382650573,1.383747761,3.064714551,0.871172335
-240,1.392322626,1.396184382,3.081174451,0.883570579
-230,1.400283756,1.404709661,3.073100378,0.87336905
-220,1.40693263,1.413928449,3.048017416,0.869683101
-210,1.41021227,1.42171289,3.034720831,0.868221756
-200,1.414990602,1.430063625,2.957267894,0.873722791
-190,1.416879898,1.435265524,2.90838499,0.886595723
-180,1.41804699,1.438502691,2.843884788,0.89447959
-170,1.418908007,1.441645235,2.771153658,0.898165539
-160,1.41545724,1.443708275,2.719831424,0.899180085
-150,1.414560883,1.44317183,2.639134791,0.887070411
-140,1.410022337,1.44011201,2.55605716,0.884017379
-130,1.406203788,1.436607522,2.456195872,0.842252492
-120,1.397250613,1.430744426,2.386473158,0.843555608
-110,1.387029409,1.416875082,2.325343362,0.829537789
-100,1.375747824,1.405117107,2.272571205,0.812466938
-90,1.363778444,1.388692412,2.207532062,0.817521173
-80,1.35069271,1.370736512,2.160746591,0.792789855
-70,1.334070575,1.351922791,2.067949874,0.776035462
-60,1.318137723,1.330080184,2.004223894,0.762622672
-50,1.301556537,1.310726339,1.955831647,0.760937927
-40,1.288210393,1.29278098,1.958045744,0.761859414
-30,1.281448772,1.279698701,1.926525628,0.741298126
-20,1.274120567,1.267887257,1.884805816,0.753538141
-10,1.267225086,1.258693259,1.850699563,0.745179586
0,1.261438413,1.254246426,1.804923596,0.740953779
10,1.262007221,1.254674218,1.77279616,0.735555197
20,1.266852633,1.262006005,1.794645474,0.749163499
30,1.271923088,1.271783501,1.792881843,0.779554081
40,1.280337821,1.283943997,1.810067682,0.780066051
50,1.290482646,1.298820813,1.836835848,0.786739861
60,1.303174099,1.318190917,1.896574052,0.823422625
70,1.318859742,1.340137582,1.996346865,0.83947893
80,1.336121346,1.360358777,2.067137415,0.843230049
90,1.352485616,1.378732629,2.197342413,0.895680547
100,1.367206612,1.396906017,2.305698098,0.935704913
110,1.380777999,1.409467069,2.401189523,0.953380792
120,1.390527468,1.42139259,2.50733111,0.975505879
130,1.399471661,1.431815088,2.607417631,0.995881049
140,1.408133934,1.436346503,2.676150937,1.017494165
150,1.41240739,1.439102883,2.818878299,1.038055454
160,1.412986648,1.44043451,2.894666127,1.044952663
170,1.414153317,1.440259238,2.969836587,1.064815864
180,1.413085706,1.438224684,3.026920275,1.056643426
190,1.40966431,1.432819859,3.075656373,1.058774971
200,1.406239955,1.429608549,3.086670481,1.069227788
210,1.404881795,1.422280638,3.144057829,1.057974431
220,1.398780933,1.415266376,3.200612624,1.046721073
230,1.396181296,1.406286607,3.271648502,1.025359245
240,1.389209485,1.396224701,3.285797737,1.031362856
250,1.381391815,1.383231231,3.284132628,1.042039073
260,1.372696888,1.367884649,3.280410276,1.001130502
270,1.361482599,1.355465445,3.298820804,0.98431094
280,1.351742061,1.341886916,3.342372626,0.954720897
290,1.342629399,1.328191473,3.404560209,0.942127141
300,1.330404211,1.313325715,3.409086926,0.939483627
310,1.321387234,1.302980029,3.398740423,0.935127479
320,1.310553562,1.290910186,3.378781451,0.898984573
330,1.303387924,1.283819863,3.372863143,0.880201089
340,1.294946797,1.274959937,3.349935947,0.866881357
350,1.287407903,1.266949164,3.330447536,0.857377915
360,1.281015858,1.256649711,3.288031929,0.843993013
370,1.27490672,1.247739003,3.25879429,0.843006356
380,1.266148242,1.239881543,3.232251357,0.855274259
390,1.257253178,1.231257086,3.221649479,0.855274259
400,1.251892038,1.225121233,3.223324635,0.871293282
410,1.246992378,1.218510054,3.188963005,0.851774428
420,1.242837708,1.209540511,3.19777111,0.852025716
430,1.235214503,1.19987621,3.210458421,0.857712868
440,1.230892768,1.193189466,3.200405532,0.861017188
450,1.227745016,1.189896837,3.166876457,0.889341396
460,1.222332437,1.184344639,3.140637184,0.872493945
470,1.218190513,1.17921683,3.095458491,0.839692642
480,1.215686326,1.175408923,3.03849342,0.824083136
490,1.210801838,1.169470833,2.986348679,0.80269342
500,1.204641509,1.164084879,2.929980882,0.78861043
510,1.198814038,1.160985743,2.870860045,0.767853631
520,1.193912839,1.157256736,2.819185866,0.769920005
530,1.186111945,1.154464293,2.810749801,0.750084692
540,1.183344523,1.149470354,2.757909265,0.74747846
550,1.180888445,1.145595088,2.735991571,0.760956421
560,1.176334221,1.142347223,2.724400285,0.759560246
570,1.170638869,1.137190761,2.705921378,0.76140322
580,1.166425565,1.133678637,2.693262256,0.772368008
590,1.161990763,1.131089057,2.660449071,0.782634708
600,1.156566757,1.127455059,2.680357806,0.790099664
610,1.152356246,1.123630437,2.635042353,0.782820825
620,1.147795414,1.117704891,2.604501598,0.760798192
630,1.143394269,1.11353525,2.569669406,0.775290699
640,1.138039568,1.108433845,2.545360666,0.775225528
650,1.135213078,1.104760598,2.549583723,0.779097594
660,1.131146512,1.10087659,2.550201091,0.788442807
670,1.129941935,1.09922629,2.573343474,0.789113006
680,1.129072323,1.095152276,2.551661061,0.788507978
690,1.126316493,1.090761427,2.515075287,0.765210116
700,1.12540026,1.090747559,2.559998605,0.758917935
710,1.122284156,1.087075083,2.530388925,0.753482071
720,1.120377849,1.085248635,2.498026207,0.721444025
730,1.119048512,1.083825433,2.478694651,0.742582454
740,1.117611413,1.081745717,2.447096108,0.730091151
750,1.115601325,1.078929668,2.390816785,0.704978203
760,1.112262167,1.076934351,2.348489652,0.705583232
770,1.108787227,1.073968864,2.334292134,0.6924869
780,1.106196521,1.073661856,2.304986115,0.714295528
790,1.103778951,1.071716326,2.296618429,0.730631009
800,1.102343809,1.069783491,2.282107202,0.732185413
810,1.101720753,1.066933757,2.261012015,0.724366716
820,1.099637563,1.063607307,2.285771222,0.713336758
830,1.094883285,1.06164211,2.259169958,0.71975928
840,1.092309557,1.060014344,2.282332436,0.731431549
850,1.089003254,1.059281796,2.288309075,0.733497923
860,1.086500587,1.056581888,2.242738246,0.755809127
870,1.083251259,1.053398754,2.2157348,0.732194807
880,1.079677957,1.051121911,2.180080102,0.763916394
890,1.077820228,1.048439115,2.170634533,0.765917597
900,1.074793017,1.048373753,2.144708969,0.800915616
910,1.071130788,1.045391387,2.119165492,0.808892542
920,1.071776445,1.041916122,2.104360653,0.798784071
930,1.069520653,1.040585213,2.092240472,0.794269694
940,1.065971155,1.039042618,2.085039144,0.788638318
950,1.064913116,1.035953328,2.110719379,0.787428261
960,1.061883613,1.033942678,2.082579718,0.78084751
970,1.059752915,1.031653452,2.060034608,0.755734562
980,1.057553697,1.027880402,2.049139117,0.753826418
990,1.055898094,1.022377229,2.050599087,0.728015383
1000,1.054427322,1.021873248,2.04023249,0.721183343
1010,1.050667367,1.018981559,2.009251315,0.722709859
1020,1.051162539,1.015106692,2.002814162,0.71250833
1030,1.047452484,1.012513254,1.978426995,0.694292592
1040,1.04522871,1.008843796,1.95402978,0.663902009
1050,1.041155318,1.004543539,1.953490839,0.655031484
1060,1.039310721,1.002056019,1.925870023,0.644383155
1070,1.03542773,1.000757554,1.883631365,0.63904035
1080,1.032355285,0.996596902,1.845752522,0.653570139
1090,1.030130473,0.995602961,1.81438926,0.655822631
1100,1.02811836,0.993888941,1.832319178,0.635605689
1110,1.024163321,0.993631646,1.815613949,0.619139867
1120,1.023390011,0.993537028,1.807099457,0.626576935
1130,1.025102994,0.992216649,1.812468776,0.632710887
1140,1.022315464,0.992883916,1.790002093,0.632682998
1150,1.02105033,0.990477772,1.811606079,0.623598468
1160,1.020732629,0.989302574,1.827782414,0.607709786
1170,1.019868838,0.987023026,1.835522684,0.60624844
1180,1.018959678,0.986886982,1.832465985,0.606630069
1190,1.017796369,0.986066325,1.800260121,0.611079276
1200,1.017228782,0.98630875,1.81098871,0.631231047
1210,1.015551114,0.984037026,1.794273434,0.634535367
1220,1.014420575,0.98414612,1.785455281,0.637458058
1230,1.012744029,0.982636665,1.772570926,0.660411572
1240,1.01208524,0.981912488,1.780075915,0.664386091
1250,1.011647883,0.983041769,1.75354303,0.678878598
1260,1.010304393,0.983834006,1.75031943,0.672968046
1270,1.008944829,0.981382339,1.744489597,0.682760058
1280,1.009098579,0.981241494,1.700330454,0.682378429
1290,1.007389362,0.980793414,1.668585104,0.667308782
1300,1.003119013,0.980193037,1.659992185,0.677575482
1310,1.004095252,0.980399846,1.635615066,0.648078498
1320,1.004696981,0.982887589,1.605701726,0.631519617
1330,1.00583003,0.982734898,1.600636068,0.623384462
1340,1.006475035,0.982101383,1.598480303,0.619251714
1350,1.007815847,0.98229402,1.596167683,0.629769702
1360,1.008172659,0.982686188,1.609335603,0.624045267
1370,1.005103393,0.980799124,1.612303828,0.615556371
1380,1.005757833,0.978271108,1.597342134,0.610278736
1390,1.005965079,0.97686076,1.604915503,0.603828326
1400,1.003804921,0.974337003,1.592863702,0.624073155
1410,1.001987289,0.968620445,1.564253478,0.627442646
1420,1.000397395,0.9668067,1.540865767,0.641302235
1430,0.998687642,0.964885484,1.513950795,0.63243171
1440,0.996987809,0.961384366,1.487878424,0.619968295
1450,0.995414693,0.960821001,1.448618038,0.616822205
1460,0.994496468,0.959216852,1.417636863,0.602804386
1470,0.993880052,0.958905514,1.393171269,0.58427219
1480,0.991360389,0.9569771,1.372850305,0.593617402
1490,0.990445024,0.956474594,1.384588398,0.572162515
1500,0.988887514,0.958182411,1.38091433,0.562119215
1510,0.990030901,0.957492529,1.386283649,0.558275037
1520,0.988184212,0.958390842,1.377455449,0.54400593
1530,0.987523466,0.958093595,1.395777502,0.528014795
1540,0.983977664,0.957724417,1.399079529,0.51314066
1550,0.981842332,0.955543978,1.393386455,0.523342189
1560,0.980433603,0.954261696,1.427042242,0.514378605
1570,0.978912077,0.95145022,1.406103909,0.521340985
1580,0.977684615,0.951607861,1.41407946,0.541744044
1590,0.976513175,0.949967251,1.413080004,0.559606041
1600,0.975253277,0.950291438,1.384568303,0.553918889
1610,0.974288096,0.950800603,1.390241282,0.55398406
1620,0.974004939,0.949680614,1.413854226,0.558749725
1630,0.97547215,0.950475408,1.458787591,0.568569625
1640,0.974879589,0.950589144,1.440240305,0.591709257
1650,0.974436527,0.950826613,1.453742028,0.591709257
1660,0.974320634,0.949588623,1.449450592,0.587669568
1670,0.975226532,0.948502391,1.464480665,0.576704781
1680,0.973865245,0.945657624,1.466626383,0.581023646
1690,0.970997886,0.944024057,1.466155821,0.584709595
1700,0.969580861,0.942498189,1.455652465,0.586552569
1710,0.967604478,0.942048947,1.413100099,0.573139779
1720,0.963966973,0.93936693,1.419537253,0.575140983
1730,0.963588532,0.937328104,1.423368174,0.568783631
1740,0.961809643,0.937261129,1.407956014,0.572404409
1750,0.959025223,0.93504902,1.374829121,0.567257115
1760,0.958565299,0.933564114,1.36685357,0.561188334
1770,0.959460524,0.93472297,1.360034329,0.571389863
1780,0.960771327,0.935192336,1.334824656,0.564017966
1790,0.960640095,0.933521365,1.351461505,0.569705118
1800,0.959914293,0.934325062,1.342339692,0.569546889
1810,0.962065386,0.933916007,1.333589919,0.564743942
1820,0.961044466,0.932007954,1.322547621,0.575485329
1830,0.96075813,0.932332605,1.322704475,0.574629013
1840,0.959421467,0.930670926,1.319098787,0.571036123
1850,0.959359406,0.929206688,1.304901269,0.563059197
1860,0.957931791,0.926548753,1.298297213,0.564427483
1870,0.957584983,0.924896368,1.289939575,0.566270458
1880,0.955643345,0.923919775,1.280974616,0.574470783
1890,0.956615352,0.923135821,1.29216372,0.574089154
1900,0.95645267,0.923276583,1.279583025,0.546090798
1910,0.956672212,0.923894535,1.287930616,0.540338476
1920,0.957212832,0.926872013,1.261926625,0.557120756
1930,0.95665023,0.927114206,1.254872103,0.564781224
1940,0.95652594,0.926923421,1.279317601,0.566689369
1950,0.957427087,0.928002532,1.291721347,0.565069794
1960,0.958069666,0.928472206,1.286116747,0.564241366
1970,0.956313426,0.9271643,1.284127883,0.562333221
1980,0.9548648,0.923879126,1.246944836,0.564781224
1990,0.95394624,0.923356489,1.244406983,0.575140983
2000,0.952878314,0.923800998,1.247709011,0.578445302
